participant_id	species
sub-nyuMouse07	mus musculus
sub-nyuMouse09	mus musculus
sub-nyuMouse10	mus musculus
sub-nyuMouse11	mus musculus
sub-nyuMouse12	mus musculus
sub-nyuMouse13	mus musculus
sub-nyuMouse14	mus musculus
sub-nyuMouse15	mus musculus
sub-nyuMouse25	mus musculus
sub-nyuMouse26	mus musculus
sub-nyuMouse27	mus musculus
sub-nyuMouse28	mus musculus
sub-nyuMouse29	mus musculus
sub-nyuMouse30	mus musculus
sub-nyuMouse31	mus musculus
sub-nyuMouse32	mus musculus
sub-nyuMouse33	mus musculus
sub-nyuMouse34	mus musculus
sub-nyuMouse35	mus musculus
sub-nyuMouse36	mus musculus
