sample_id	participant_id	sample_type
sample-0001	sub-nyuMouse07	tissue
sample-0002	sub-nyuMouse07	tissue
sample-0003	sub-nyuMouse07	tissue
sample-0004	sub-nyuMouse07	tissue
sample-0005	sub-nyuMouse07	tissue
sample-0006	sub-nyuMouse07	tissue
sample-0007	sub-nyuMouse07	tissue
sample-0008	sub-nyuMouse07	tissue
sample-0001	sub-nyuMouse09	tissue
sample-0002	sub-nyuMouse09	tissue
sample-0003	sub-nyuMouse09	tissue
sample-0004	sub-nyuMouse09	tissue
sample-0005	sub-nyuMouse09	tissue
sample-0006	sub-nyuMouse09	tissue
sample-0007	sub-nyuMouse09	tissue
sample-0008	sub-nyuMouse09	tissue
sample-0001	sub-nyuMouse10	tissue
sample-0002	sub-nyuMouse10	tissue
sample-0003	sub-nyuMouse10	tissue
sample-0004	sub-nyuMouse10	tissue
sample-0005	sub-nyuMouse10	tissue
sample-0006	sub-nyuMouse10	tissue
sample-0007	sub-nyuMouse10	tissue
sample-0008	sub-nyuMouse10	tissue
sample-0001	sub-nyuMouse11	tissue
sample-0002	sub-nyuMouse11	tissue
sample-0003	sub-nyuMouse11	tissue
sample-0004	sub-nyuMouse11	tissue
sample-0005	sub-nyuMouse11	tissue
sample-0006	sub-nyuMouse11	tissue
sample-0007	sub-nyuMouse11	tissue
sample-0008	sub-nyuMouse11	tissue
sample-0002	sub-nyuMouse12	tissue
sample-0003	sub-nyuMouse12	tissue
sample-0004	sub-nyuMouse12	tissue
sample-0005	sub-nyuMouse12	tissue
sample-0008	sub-nyuMouse12	tissue
sample-0009	sub-nyuMouse12	tissue
sample-0010	sub-nyuMouse12	tissue
sample-0011	sub-nyuMouse12	tissue
sample-0001	sub-nyuMouse13	tissue
sample-0002	sub-nyuMouse13	tissue
sample-0003	sub-nyuMouse13	tissue
sample-0004	sub-nyuMouse13	tissue
sample-0005	sub-nyuMouse13	tissue
sample-0006	sub-nyuMouse13	tissue
sample-0007	sub-nyuMouse13	tissue
sample-0008	sub-nyuMouse13	tissue
sample-0001	sub-nyuMouse14	tissue
sample-0002	sub-nyuMouse14	tissue
